2014-10-06 10:17:45,038 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -443, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,038 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -491, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,038 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -534, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,038 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -104, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,039 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -1082, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,039 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -329, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,039 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -534, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,039 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -119, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,039 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -249, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,039 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -473, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,039 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -413, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,039 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -235, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,039 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -78, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,039 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -278, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,040 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -542, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,040 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -528, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,040 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -541, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,040 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -119, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,040 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -280, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,040 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -461, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,040 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -218, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,040 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -123, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,040 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -97, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,040 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -533, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,040 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -392, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,040 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -291, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,040 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -407, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,040 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -77, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,041 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -133, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,041 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -502, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,041 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -101, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,041 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -203, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,041 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -171, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,041 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -330, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,041 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -115, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,041 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -252, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,041 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -461, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,041 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -1170, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,041 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -140, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,041 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -333, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,041 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -196, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,041 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -639, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,042 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -242, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,042 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -748, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,042 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -260, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,042 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -78, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,042 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -269, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,042 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -457, soft0Score: 20888, soft1Score: -7912
2014-10-06 10:17:45,042 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -126, soft0Score: 20681, soft1Score: -8119
